"You have no other address entries in your address book.","You have no other address entries in your address book."
"Add New Address","Add New Address"
Back,Back
Company,Company
Fax,Fax
Address,Address
"Street Address","Street Address"
"Street Address %1","Street Address %1"
"VAT Number","VAT Number"
State/Province,County/Region
"Please select a region, state or province.","Please select a county or region."
"Zip/Postal Code","Postcode"
"It's a default billing address.","It's a default billing address."
"Use as my default billing address","Use as my default billing address"
"It's a default shipping address.","It's a default delivery address."
"Use as my default shipping address","Use as my default delivery address"
"Save Address","Save Address"
"Go back","Go back"
"Account Information","Account Information"
"Change Email","Change Email"
"Change Email and Password","Change Email and Password"
"Current Password","Current Password"
"Enter new password","Enter new password"
"Password Strength","Password Strength"
"No Password","No Password"
"Confirm New Password","Confirm New Password"
Save,Save
"Please enter your email address below to receive a password reset link.","Please enter your email address below to receive a password reset link."
"Enter your email address","Enter your email address"
"Reset My Password","Reset My Password"
"Registered Customers","Registered Customers"
"If you have an account, sign in with your email address.","If you have an account, sign in with your email address."
"Enter your password *","Enter your password *"
Password,Password
"Sign In","Sign In"
"Forgot Your Password?","Forgot Your Password?"
"Subscription option","Subscription option"
"General Subscription","General Subscription"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Address Information","Address Information"
"Sign-in Information","Sign-in Information"
"Enter Your Email","Enter Your Email"
"Enter your password","Enter your password"
"Confirm Password","Confirm Password"
"Create an Account","Create an Account"
"Repeat your password *","Repeat your password *"
"Register Account","Register Account"
"Enter New Password","Enter New Password"
"Set a New Password","Set a New Password"
"You have signed out and will go to our homepage in 5 seconds.","You have signed out and will go to our homepage in 5 seconds."
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple delivery addresses, view and track your orders in your account and more."
Gender,Gender
"Tax/VAT number","VAT number"
"Your current currency is: %1.","Your current currency is: %1."
Continue,Continue
"Grouped product items","Grouped product items"
"Product Name","Product Name"
item,item
items,items
"Please choose","Please choose"
"Now Shopping by","Now Shopping by"
Previous,Previous
Filter,Filter
"Default Billing","Default Billing"
"Default Shipping","Default Delivery"
"Select Address","Select Address"
"Back to Billing Information","Back to Billing Information"
"Please select a shipping address for applicable items.","Please select a delivery address for applicable items."
"Send To","Send To"
Action,Action
"A shipping selection is not applicable.","A delivery selection is not applicable."
Actions,Actions
"Remove Item","Remove Item"
"Go to Shipping Information","Go to Delivery Information"
"Update Qty &amp; Addresses","Update Qty &amp; Addresses"
"Enter a New Address","Enter a New Address"
"Back to Shopping Cart","Back to Shopping Basket"
"Billing Address","Billing Address"
"Payment Method","Payment Method"
"Go to Review Your Order","Go to Review Your Order"
"Back to Shipping Information","Back to Delivery Information"
"Billing Information","Billing Information"
"Shipping Information","Delivery Information"
"Address %1 <span>of %2</span>","Address %1 <span>of %2</span>"
"Shipping To","Delivery To"
"Shipping Method","Delivery Method"
"Incl. Tax","Incl. VAT"
"Excl. Tax","Excl. VAT"
"Other items in your order","Other items in your order"
Items,Items
"Edit Items","Edit Items"
"Grand Total:","Grand Total:"
"Place Order","Place Order"
"Submitting order information...","Submitting order information..."
"Sorry, no quotes are available for this order right now.","Sorry, no quotes are available for this order right now."
"Continue to Billing Information","Continue to Billing Information"
"Back to Select Addresses","Back to Select Addresses"
"Thanks for your order. We'll email you order details and tracking information.","Thanks for your order. We'll email you order details and tracking information."
"Your order numbers are: ","Your order numbers are: "
"Your order number is: ","Your order number is: "
Subscribe,Subscribe
your@email.com,your@email.com
"My Product Review","My Product Review"
"Product Reviews","Product Reviews"
Created,Created
Review,Review
"See Details","See Details"
"You have submitted no reviews.","You have submitted no reviews."
"My Recent Reviews","My Recent Reviews"
"Average Customer Rating:","Average Customer Rating:"
"Your Review","Your Review"
"Submitted on %1","Submitted on %1"
"Back to My Reviews","Back to My Reviews"
"Write Your Own Review","Write Your Own Review"
"%1 %2","%1 %2"
Nickname*,Nickname*
Summary*,Summary*
"Write your review*","Write your review*"
"Submit Review","Submit Review"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
Reviews,Reviews
"Write a review","Write a review"
"Be the first to review this product","Be the first to review this product"
"%1 Review(s)","%1 Review(s)"
"Customer Reviews","Customer Reviews"
"Back to Main Product Info","Back to Main Product Info"
"Order #","Order #"
Date,Date
"Ship To","Ship To"
"Order Total","Order Total"
Status,Status
"View Order","View Order"
Reorder,Reorder
"You have placed no orders.","You have placed no orders."
"Order Information","Order Information"
"Shipping Address","Delivery Address"
"No shipping information available","No delivery information available"
"About Your Order","About Your Order"
"Shipment #%1","Shipment #%1"
SKU,SKU
"Qty Shipped","Qty Shipped"
"Recent Orders","Recent Orders"
"Items Ordered","Items Ordered"
"Gift Message for This Order","Gift Message for This Order"
From,From
To,To
"My Orders","My Orders"
"All Categories","All Categories"
"Your Language:","Your Language:"
"Your Language","Your Language"
"Select Store","Select Store"
Currency,Currency
Language,Language
"Welcome, %1!","Welcome, %1!"
Login,Login
"Register Form","Register Form"
"Login Form","Login Form"
"Register an account","Register an account"
"Have an account","Have an account"
Logout,Logout
Menu,Menu
"Login or Register","Login or Register"
"JavaScript seems to be disabled in your browser.","JavaScript seems to be disabled in your browser."
"For the best experience on our site, be sure to turn on Javascript in your browser.","For the best experience on our site, be sure to turn on Javascript in your browser."
"Local Storage seems to be disabled in your browser.","Local Storage seems to be disabled in your browser."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","For the best experience on our site, be sure to turn on Local Storage in your browser."
"This is demo store. No orders will be fulfilled.","This is demo store. No orders will be fulfilled."
"Showing: ","Showing: "
"%1 to %2 of %3","%1 to %2 of %3"
"%1 Item(s)","%1 Item(s)"
Next,Next
"Share Wish List","Share Wish List"
"Add All to Cart","Add All to Basket"
"Update Wish List","Update Wish List"
"Move to Wishlist","Move to Wishlist"
Comment,Comment
"My Wish List","My Wish List"
"Product Details","Product Details"
"Add to cart and Comment","Add to basket and Comment"
"This Wish List has no Items","This Wish List has no Items"
"Sharing Information","Sharing Information"
"Email addresses, separated by commas","Email addresses, separated by commas"
Message,Message
"Check here to link an RSS feed to your Wish List.","Check here to link an RSS feed to your Wish List."
"Select option","Select option"
"Go to Wish List","Go to Wish List"
"You have no items in your wish list.","You have no items in your wish list."
"Enter Your Password","Enter Your Password"
"My billing and shipping address are the same","My billing and delivery address are the same"
Update,Update
Cancel,Cancel
"Estimated Total","Estimated Total"
"Order Summary","Order Summary"
"Email Address","Email Address"
"You can create an account after checkout.","You can create an account after checkout."
"You already have an account with us. Sign in or continue as guest.","You already have an account with us. Sign in or continue as guest."
"Shopping Cart","Shopping Basket"
"item(s) in your cart - ","item(s) in your basket - "
"You have no items in your shopping cart.","You have no items in your shopping basket."
"View Cart","View Basket"
Checkout,Checkout
"Total: ","Total: "
"You can track your order status by creating an account.","You can track your order status by creating an account."
"A letter with further instructions will be sent to your email.","A letter with further instructions will be sent to your email."
"Ship Here","Ship Here"
"Ship To:","Ship To:"
"Shipping Method:","Delivery Method:"
"New Address","New Address"
"Shipping Methods","Delivery Methods"
"Select Method","Select Method"
"Method Title","Method Title"
"Carrier Title","Carrier Title"
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Checkout out as a new customer","Checkout out as a new customer"
"Creating an account has many benefits:","Creating an account has many benefits:"
"See order and shipping status","See order and delivery status"
"Track order history","Track order history"
"Check out faster","Check out faster"
"Checkout out using your account","Checkout out using your account"
"Gift Message (optional)","Gift Message (optional)"
To:,To:
From:,From:
Message:,Message:
"Cancel coupon","Cancel coupon"
Adding...,Adding...
Added,Added
"Account Dashboard","Account Dashboard"
"Newsletter Subscriptions","Newsletter Subscriptions"
